sales_data_id,sale_date,profit_amount,event,weather,Temperature,sales_amount_lag_1,sales_amount_lag_7,sales_amount_lag_30,sales_amount_ma_30,sales_amount_std_30,sales_amount_ma_60,sales_amount_std_60,month_sin,month_cos,day_of_week_sin,day_of_week_cos
138,,2638.0,Normal_Day,Mostly_Sunny,37.0,10612.536,7459.0,11217.0,10015.522,2043.566,10004.915,2058.4316,,,,
514,,1245.0,Normal_Day,Mostly_Sunny,37.0,10809.0,11401.0,12873.0,10046.527,2284.404,9529.911,2279.6387,,,,
506,,1714.0,Normal_Day,Mostly_Sunny,37.0,11973.0,10612.536,10612.536,9702.794,2306.3015,9468.803,2199.196,,,,
451,,,Normal_Day,Mostly_Sunny,31.0,9215.0,8873.0,10210.0,9180.581,2108.7021,10122.52,2633.0325,,,,
168,,1715.0,Normal_Day,Mostly_Sunny,39.0,9387.0,8842.0,12619.0,11058.858,2596.5366,10537.19,2375.5642,,,,
327,,1310.0,Normal_Day,Scattered_Shower,33.0,4610.0,7819.0,7473.0,8606.923,3016.8567,8987.682,2808.98,,,,
310,,,Holiday,Scattered_Shower,32.0,4991.0,10612.536,6642.0,9481.273,2922.169,9320.707,2675.8945,,,,
211,,,Holiday,Mostly_Sunny,37.0,5911.0,4712.0,17516.0,17727.986,11070.091,15038.039,8756.09,,,,
121,,,Holiday,Mostly_Sunny,33.0,6582.0,10612.536,9939.0,10329.674,1942.3136,10202.99,2221.139,,,,
872,,1628.0,Holiday,Partly_Cloudy,33.0,10612.536,8117.0,9379.0,8738.259,1814.4414,8506.566,2057.6626,,,,
303,,,Holiday,Mostly_Sunny,35.0,7860.0,10612.536,10864.0,9253.207,3015.6614,9517.232,2564.7786,,,,
6,,1290.0,Normal_Day,Mostly_Sunny,33.0,8160.0,,,,,,,,,,
31,,1165.0,Holiday,Mostly_Sunny,32.0,10612.536,10233.0,6552.0,9060.089,3018.7012,,,,,,
262,,2256.0,Normal_Day,Mostly_Sunny,33.0,10612.536,12423.0,10612.536,9957.01,1779.0496,10143.96,2784.932,,,,
293,,2194.0,Normal_Day,Partly_Cloudy,34.0,9561.0,9578.0,11398.0,9135.39,2616.6094,9559.29,2265.2344,,,,
220,,2880.0,Normal_Day,Mostly_Sunny,35.0,10612.536,9541.0,30095.0,13929.656,10107.593,14891.03,8850.614,,,,
599,,1712.0,Normal_Day,Mostly_Sunny,34.0,10834.0,10136.0,15661.0,17008.389,11367.408,14715.722,8975.519,,,,
581,,3242.0,Holiday,Partly_Cloudy,35.0,10612.536,34709.0,5014.0,19083.504,10778.8545,14830.265,8852.58,,,,
18,,1419.0,Normal_Day,Mostly_Sunny,33.0,8197.0,8518.0,,,,,,,,,
253,,,Holiday,Mostly_Sunny,34.0,6818.0,10612.536,9449.0,10021.494,1898.6863,10622.475,3016.1716,,,,
315,,786.0,Holiday,Mostly_Sunny,32.0,6488.0,5734.0,6891.0,9139.005,3049.5417,9149.906,2742.9912,,,,
363,,3008.0,Normal_Day,Mostly_Sunny,32.0,18077.0,8662.0,7234.0,10022.412,4447.0493,9182.4,3617.2166,,,,
197,,2424.0,Holiday,Mostly_Sunny,38.0,14503.0,30095.0,9387.0,19020.27,10519.618,15102.297,8559.722,,,,
352,,,Holiday,Mostly_Sunny,33.0,10612.536,10612.536,6485.0,8455.996,2178.6133,8612.567,2600.299,,,,
205,,,Holiday,Mostly_Sunny,36.0,4712.0,10612.536,14596.0,18791.953,10654.631,15084.156,8609.135,,,,
92,,1588.0,Holiday,Mostly_Sunny,33.0,9939.0,7869.0,12138.0,9953.474,2481.9216,10339.191,2456.2615,,,,
674,,1440.0,Normal_Day,Mostly_Sunny,33.0,8472.0,8935.0,10612.536,8443.04,2265.937,8845.425,2096.5547,,,,
233,,,Holiday,Mostly_Sunny,35.0,10612.536,10612.536,7753.0,10426.228,3507.9885,14790.965,8821.841,,,,
348,,2342.0,Normal_Day,Partly_Cloudy,34.0,8005.0,6114.0,7700.0,8300.527,2058.628,8804.542,2565.8142,,,,
288,,570.0,Holiday,Mostly_Sunny,36.0,9225.0,10612.536,9041.0,9053.974,2597.654,9433.449,2255.0745,,,,
691,,1071.0,Normal_Day,Mostly_Sunny,34.0,8622.0,10164.0,9906.0,8258.292,2095.0552,8701.092,2030.3137,,,,
266,,2105.0,Normal_Day,Mostly_Sunny,34.0,5988.0,7752.0,9052.0,9815.625,2007.4714,9995.95,2453.6702,,,,
613,,1648.0,Normal_Day,Mostly_Sunny,35.0,7134.0,10612.536,7732.0,11369.308,3790.5698,15112.23,8986.296,,,,
582,,1666.0,Normal_Day,Scattered_Shower,34.0,18048.0,32739.0,10612.536,18954.02,10906.697,14765.522,8898.036,,,,
116,,2292.0,Normal_Day,Mostly_Sunny,33.0,8385.0,13095.0,10612.536,10407.623,1787.1118,10283.092,2190.888,,,,
276,,1566.0,Normal_Day,Partly_Cloudy,33.0,10612.536,8648.0,10612.536,9710.625,2084.5212,9921.101,2248.754,,,,
540,,2577.0,Normal_Day,Mostly_Sunny,38.0,11774.0,16215.0,10612.536,10565.943,2432.188,10313.895,2348.3352,,,,
34,,1454.0,Normal_Day,Mostly_Sunny,33.0,6890.0,11775.0,14277.0,8507.705,2629.542,,,,,,
174,,2176.0,Normal_Day,Mostly_Sunny,36.0,11222.0,9387.0,11134.0,11222.259,2917.4053,10561.924,2547.0278,,,,
231,,1492.0,Normal_Day,Mostly_Sunny,38.0,8138.0,10612.536,10408.0,10423.225,3584.8655,14781.264,8828.227,,,,
229,,1860.0,Normal_Day,Mostly_Sunny,36.0,9492.0,13332.0,13208.0,10681.658,3530.358,14997.173,8754.76,,,,
397,,2285.0,Normal_Day,Mostly_Sunny,34.0,8762.0,8662.0,13695.0,10466.341,1950.5253,10451.801,3402.184,,,,
345,,,Holiday,Mostly_Sunny,35.0,10612.536,10612.536,3673.0,8379.445,2062.8066,8759.225,2609.453,,,,
