sales_data_id,sale_date,sales_amount,profit_amount,Temperature,day_of_year,Date,Month,Year,is_closed,event_Normal Day,weather_Mostly Sunny,weather_Partly Cloudy,weather_Scattered Shower
258,2023-07-20,9041.0,1885.0,34.0,201,20,7,2023,0,True,True,False,False
259,2023-07-21,7752.0,1755.0,34.0,202,21,7,2023,0,True,True,False,False
260,2023-07-22,10612.535779816513,2074.0550458715597,33.0,203,22,7,2023,0,False,False,True,False
261,2023-07-23,10612.535779816513,2074.0550458715597,33.0,204,23,7,2023,0,False,False,True,False
262,2023-07-24,10822.0,2256.0,33.0,205,24,7,2023,0,True,True,False,False
263,2023-07-25,11398.0,2119.0,34.0,206,25,7,2023,0,True,False,True,False
264,2023-07-26,6689.0,1351.0,34.0,207,26,7,2023,0,True,True,False,False
265,2023-07-27,5988.0,1257.0,35.0,208,27,7,2023,0,True,True,False,False
266,2023-07-28,10085.0,2105.0,34.0,209,28,7,2023,0,True,True,False,False
267,2023-07-29,5163.0,1109.0,34.0,210,29,7,2023,0,False,False,True,False
268,2023-07-30,10612.535779816513,2074.0550458715597,32.0,211,30,7,2023,0,False,False,True,False
269,2023-07-31,8648.0,1765.0,33.0,212,31,7,2023,0,True,False,False,False
270,2023-08-01,13319.0,2719.0,33.0,213,1,8,2023,0,False,True,False,False
271,2023-08-02,7924.0,1586.0,32.0,214,2,8,2023,0,True,False,False,False
272,2023-08-03,12840.0,2724.0,33.0,215,3,8,2023,0,True,False,True,False
273,2023-08-04,10864.0,2017.0,33.0,216,4,8,2023,0,True,True,False,False
274,2023-08-05,12432.0,2417.0,35.0,217,5,8,2023,0,False,False,True,False
275,2023-08-06,10612.535779816513,2074.0550458715597,34.0,218,6,8,2023,0,False,False,False,False
276,2023-08-07,7708.0,1566.0,33.0,219,7,8,2023,0,True,False,True,False
277,2023-08-08,9130.0,2073.0,35.0,220,8,8,2023,0,True,True,False,False
278,2023-08-09,2756.0,590.0,35.0,221,9,8,2023,0,True,True,False,False
279,2023-08-10,7778.0,1751.0,35.0,222,10,8,2023,0,True,True,False,False
280,2023-08-11,6642.0,1491.0,35.0,223,11,8,2023,0,True,True,False,False
281,2023-08-12,10612.535779816513,2074.0550458715597,35.0,224,12,8,2023,0,False,True,False,False
282,2023-08-13,10612.535779816513,2074.0550458715597,35.0,225,13,8,2023,0,False,True,False,False
283,2023-08-14,7453.0,1739.0,35.0,226,14,8,2023,0,True,True,False,False
284,2023-08-15,12534.0,2539.0,35.0,227,15,8,2023,0,False,True,False,False
285,2023-08-16,6891.0,1350.0,33.0,228,16,8,2023,0,True,False,True,False
286,2023-08-17,9578.0,2143.0,35.0,229,17,8,2023,0,True,True,False,False
287,2023-08-18,9225.0,1856.0,35.0,230,18,8,2023,0,True,True,False,False
288,2023-08-19,4325.0,570.0,36.0,231,19,8,2023,0,False,True,False,False
289,2023-08-20,10612.535779816513,2074.0550458715597,36.0,232,20,8,2023,0,False,True,False,False
290,2023-08-21,12304.0,2472.0,33.0,233,21,8,2023,0,True,True,False,False
291,2023-08-22,10985.0,2334.0,34.0,234,22,8,2023,0,True,True,False,False
292,2023-08-23,9561.0,1865.0,34.0,235,23,8,2023,0,True,True,False,False
293,2023-08-24,10177.0,2194.0,34.0,236,24,8,2023,0,True,False,True,False
294,2023-08-25,11774.0,2427.0,34.0,237,25,8,2023,0,True,True,False,False
295,2023-08-26,5057.0,1096.0,32.0,238,26,8,2023,0,False,True,False,False
296,2023-08-27,10612.535779816513,2074.0550458715597,34.0,239,27,8,2023,0,False,True,False,False
297,2023-08-28,7473.0,1693.0,35.0,240,28,8,2023,0,True,True,False,False
298,2023-08-29,6694.0,1672.0,33.0,241,29,8,2023,0,True,True,False,False
299,2023-08-30,5823.0,1191.0,34.0,242,30,8,2023,0,True,True,False,False
300,2023-08-31,11642.0,2056.0,36.0,243,31,8,2023,0,True,True,False,False
301,2023-09-01,18119.0,1735.0,35.0,244,1,9,2023,0,True,True,False,False
302,2023-09-02,7860.0,1705.0,35.0,245,2,9,2023,0,False,True,False,False
303,2023-09-03,10612.535779816513,2074.0550458715597,35.0,246,3,9,2023,0,False,True,False,False
304,2023-09-04,13137.0,2235.0,35.0,247,4,9,2023,0,True,True,False,False
305,2023-09-05,11100.0,2361.0,34.0,248,5,9,2023,0,True,False,True,False
306,2023-09-06,9403.0,1845.0,33.0,249,6,9,2023,0,True,True,False,False
307,2023-09-07,8923.0,1714.0,33.0,250,7,9,2023,0,True,False,True,False
308,2023-09-08,5734.0,1145.0,34.0,251,8,9,2023,0,True,False,False,True
309,2023-09-09,4991.0,1045.0,35.0,252,9,9,2023,0,False,True,False,False
310,2023-09-10,10612.535779816513,2074.0550458715597,32.0,253,10,9,2023,0,False,False,False,True
